company_name,job_title,location,salaries,description
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Decision Sciences,Data Scientist,"Poway, CA","$100,000 - $147,000 a year (Indeed est.)","Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Verizon,Data Scientist,"Ashburn, VA","$86,000 - $127,000 a year (Indeed est.)","Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Enable Data,Data Scientist,"Minneapolis, MN",,Data scientists perform a critical function for client organizations. A data scientist understands how to integrate multiple systems and data sets....
State of Minnesota,Surface Water Monitoring & Data Analyst - Research Scientist 1,"Brainerd, MN",$21.45 - $31.29 an hour,"Our mission is to protect and improve the environment and human health. You will be relied upon to develop methods for data reduction, surface water modeling..."
"Science System and Applications, Inc.",DAAC Data Scientist,"Hampton, VA",,"Perform metadata quality assessments for Earth Science data records, and data access tools. MS in atmospheric science, physics, earth sciences, or a related..."
Customer Value Partners,Data Scientist,"Towson, MD",,"Coordinate the design, development and testing of complex and efficient programming and analytic code, as well as technical support and subject matter expertise..."
Grainger,Data Scientist,"Chicago, IL",,"Design, validate and evaluate Data Mining and Machine Learning solutions using Python, SQL and other programming tools...."
Wayfair,Data Scientist 2,"Boston, MA",,"Data extraction, transformation, and analysis using SQL (MS-SQL, Vertica), R, and Python. Lead the research, design and implementation of cutting-edge machine..."
Domtar,Data Scientist,"Raleigh, NC",,The ability for data scientists to communicate and work with business subject matter experts is essential. Data stewards and data scientists will need to define...
Axiologic Solutions,Data Scientist,Virginia,,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,..."
Booz Allen Hamilton,"Data Scientist, Mid","Washington, DC",,"Data Scientist, Mid. You’ll utilize advanced analytics and w ork with subject matter experts to utilize data to optimize business operations and provide capital..."
Synchrony,"VP, Data Scientist","Chicago, IL","$85,000 - $170,000 a year","Manage, lead and grow team of Data Scientists. Perform data mining and develop machine learning-based predictive analytics for POCs (proofs of concepts) using a..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Capital One,Data Scientist - Testing and Optimization,"McLean, VA","$111,000 - $163,000 a year (Indeed est.)","... accomplish this goal, we use the latest techniques in machine learning - deep ... ML scientists aren't siloed in the lab, but instead partner closely with ..."
National Renewable Energy Laboratory,Graduate Intern (Summer or 9 months) Solar Data Analysis and Visualization,"Golden, CO",,"... level student internship during Summer 2019, focusing on producing analysis and visualization ... at the foothills of the Rocky Mountains in Golden, Colorado, is the ..."
VA Commonwealth Univ,Data Scientist,"Richmond, VA","$75,000 - $90,000 a year",... will provide advanced statistical data analysis and database construction of elements relevant ...
"FireEye, Inc.",Data Scientist,"Reston, VA","$102,000 - $151,000 a year (Indeed est.)",... machine learning algorithms to extract insights from both structured and unstructured data ... While more routine data analysis will also be a required job function ...
Apple,Health Sensing Data Scientist,"Santa Clara Valley, CA",,"... Scientist with working knowledge of statistical signal processing, pattern recognition, and machine ... Do your life's best work and come and be a part of ..."
Apple,"Data Scientist - Fraud Engineering, Algorithms, and Risk","Santa Clara Valley, CA",,"... data scientist with a drive to turn the huge amounts of data ... You will partner with product teams, data engineers, and experts in machine ..."
"Computer Enterprises, Inc. (CEI)",Data Scientist - Predictive Analytics,"Philadelphia, PA","$130,000 - $160,000 a year",... Media Sciences Team and the data that they collect is used to ... This position requires an individual with a well-rounded set of technical ...
Uber,Data Scientist - Segmentation,"San Francisco, CA","$125,000 - $184,000 a year (Indeed est.)","... ML scientists who're comfortable working in cross-functional teams of engineers, scientists ... We are building a brand new AI driven insights and targeting engine ..."
Axiologic Solutions,E- Data Scientist,Virginia,"$98,000 - $144,000 a year (Indeed est.)","... and analytics to enable new methodologies for end user analysts, data scientists ... processing large volume, near-real time data feeds to meet data analytics ..."
f5,Summer Internship - Data Scientist,"Seattle, WA","$37,000 - $54,000 a year (Indeed est.)","data science professional to leverage new data technology infrastructure including a data ... on an interesting project, interns will be invited to our Seattle, WA ..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year","... DB & ElasticSearch Comfortable with machine learning, deep learning and big data ... Develop scalable and reliable data solutions to move data across systems from ..."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA","$91,000 - $135,000 a year (Indeed est.)","... demonstrated experience of artificial intelligence, machine learning, self-learning systems and deep ..."
Valassis Digital,Staff Data Scientist,"Morrisville, NC","$99,000 - $146,000 a year (Indeed est.)",... data experts who are passionate about using cutting edge technology and data ... The ideal candidate is innately curious about how data can be used ...
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year",Ability to extract meaningful business insights from data and identify the stories ... years and apply it to the problem of connecting patients to clinical ...
Decision Sciences,Data Scientist,"Poway, CA","$100,000 - $147,000 a year (Indeed est.)","Enhancing data collection procedures to include information that is relevant for building ... Must be able to operate a computer, phone, fax, copy machine and ..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","... a Data Scientist for the CIA, you will organize and interpret data ... global mission, the Agency has access to unique and highly specialized data ..."
